preset,code_profile,n,r,backend,block_width,batch_size,density,lut_bytes,fits_l1,fits_l2,fits_l3,latency_per_word_us,throughput_Mword_s,mean,std,repeats,correctness_passed
lightweight,bch_255_239_r16,255,16,PackedBlockLUT.apply_many_packed,6,4096,0.005,5392,True,True,True,0.5255371130867085,1.9028151867839822,5.255371130867085e-07,3.7969888947175395e-08,3,True
lightweight,bch_255_239_r16,255,16,Naive.apply_many,8,4096,0.005,0,True,True,True,5.769571946719528,0.17332308345137834,5.769571946719528e-06,5.0350207554932346e-08,3,True
lightweight,bch_255_239_r16,255,16,SparseXor.apply_many,8,4096,0.005,0,True,True,True,5.343839518445748,0.18713136810119801,5.343839518445748e-06,1.257824643913708e-07,3,True
lightweight,bch_255_239_r16,255,16,PackedBatch.apply_many,8,4096,0.005,0,True,True,True,5.621500652826701,0.17788844327486872,5.621500652826701e-06,1.3681058194792887e-07,3,True
lightweight,bch_255_239_r16,255,16,PackedBlockLUT.apply_many_packed,8,4096,0.005,16128,True,True,True,0.47277018211389077,2.115192619654467,4.7277018211389077e-07,2.14644446915592e-08,3,True
lightweight,bch_255_239_r16,255,16,Naive.apply_many,10,4096,0.005,0,True,True,True,5.769571946719528,0.17332308345137834,5.769571946719528e-06,5.0350207554932346e-08,3,True
lightweight,bch_255_239_r16,255,16,SparseXor.apply_many,10,4096,0.005,0,True,True,True,5.343839518445748,0.18713136810119801,5.343839518445748e-06,1.257824643913708e-07,3,True
lightweight,bch_255_239_r16,255,16,PackedBatch.apply_many,10,4096,0.005,0,True,True,True,5.621500652826701,0.17788844327486872,5.621500652826701e-06,1.3681058194792887e-07,3,True
lightweight,bch_255_239_r16,255,16,PackedBlockLUT.apply_many_packed,10,4096,0.005,51264,False,True,True,0.5049316437559052,1.9804660935122964,5.049316437559052e-07,3.707263557051753e-08,3,True
lightweight,bch_255_239_r16,255,16,Naive.apply_many,12,4096,0.005,0,True,True,True,5.769571946719528,0.17332308345137834,5.769571946719528e-06,5.0350207554932346e-08,3,True
lightweight,bch_255_239_r16,255,16,SparseXor.apply_many,12,4096,0.005,0,True,True,True,5.343839518445748,0.18713136810119801,5.343839518445748e-06,1.257824643913708e-07,3,True
lightweight,bch_255_239_r16,255,16,PackedBatch.apply_many,12,4096,0.005,0,True,True,True,5.621500652826701,0.17788844327486872,5.621500652826701e-06,1.3681058194792887e-07,3,True
lightweight,bch_255_239_r16,255,16,PackedBlockLUT.apply_many_packed,12,4096,0.005,172048,False,True,True,0.44933267891641054,2.22552252912375,4.4933267891641054e-07,9.46297296430585e-09,3,True
lightweight,bch_255_239_r16,255,16,Naive.apply_many,14,4096,0.005,0,True,True,True,5.769571946719528,0.17332308345137834,5.769571946719528e-06,5.0350207554932346e-08,3,True
lightweight,bch_255_239_r16,255,16,SparseXor.apply_many,14,4096,0.005,0,True,True,True,5.343839518445748,0.18713136810119801,5.343839518445748e-06,1.257824643913708e-07,3,True
lightweight,bch_255_239_r16,255,16,PackedBatch.apply_many,14,4096,0.005,0,True,True,True,5.621500652826701,0.17788844327486872,5.621500652826701e-06,1.3681058194792887e-07,3,True
lightweight,bch_255_239_r16,255,16,PackedBlockLUT.apply_many_packed,14,4096,0.005,589840,False,True,True,0.4208740307376502,2.3760078478763287,4.2087403073765017e-07,1.8010350021437222e-08,3,True
lightweight,bch_255_239_r16,255,16,Naive.apply_many,16,4096,0.005,0,True,True,True,5.769571946719528,0.17332308345137834,5.769571946719528e-06,5.0350207554932346e-08,3,True
lightweight,bch_255_239_r16,255,16,SparseXor.apply_many,16,4096,0.005,0,True,True,True,5.343839518445748,0.18713136810119801,5.343839518445748e-06,1.257824643913708e-07,3,True
lightweight,bch_255_239_r16,255,16,PackedBatch.apply_many,16,4096,0.005,0,True,True,True,5.621500652826701,0.17788844327486872,5.621500652826701e-06,1.3681058194792887e-07,3,True
lightweight,bch_255_239_r16,255,16,PackedBlockLUT.apply_many_packed,16,4096,0.005,2031616,False,False,True,0.4244710301766948,2.3558733786466637,4.244710301766948e-07,7.2980592636817585e-09,3,True
lightweight,bch_255_239_r16,255,16,Naive.apply_many,18,4096,0.005,0,True,True,True,5.769571946719528,0.17332308345137834,5.769571946719528e-06,5.0350207554932346e-08,3,True
lightweight,bch_255_239_r16,255,16,SparseXor.apply_many,18,4096,0.005,0,True,True,True,5.343839518445748,0.18713136810119801,5.343839518445748e-06,1.257824643913708e-07,3,True
