preset,workload_type,code_profile,n,r,num_blocks,window_len,num_iterations_or_steps,num_syndrome_calls,num_candidate_tests,num_executed_candidate_tests,num_event_updates,backend_or_method,block_width,batch_size,density,total_runtime_s,latency_per_component_us,throughput_Mcomponent_s,mean,std,repeats,correctness_passed,notes
lightweight,staircase_like,ebch_256_239_r17,256,17,32,4,1,512,0,0,512,PackedBlockLUT.apply_many_packed,8,64,0.05,0.00014736666344106197,1.1513020581332967,0.8685817878423534,0.00014736666344106197,2.8869413728106755e-07,3,True,trace-level workload only; no BER; no full decoder
lightweight,staircase_like,ebch_256_239_r17,256,17,32,4,1,512,0,0,512,EventUpdate.integrated,8,64,0.05,0.0004418666746156911,3.452083395435087,0.28968013962882955,0.0004418666746156911,1.1718953561526539e-05,3,True,trace-level workload only; no BER; no full decoder
lightweight,staircase_like,ebch_256_239_r17,256,17,32,4,3,1536,0,0,1536,Naive.apply_many,8,64,0.05,0.002193799999076873,5.713020830929357,0.1750387456293112,0.002193799999076873,4.582912504568585e-05,3,True,trace-level workload only; no BER; no full decoder
lightweight,staircase_like,ebch_256_239_r17,256,17,32,4,3,1536,0,0,1536,PackedBatch.apply_many,8,64,0.05,0.0021727999943929413,5.658333318731618,0.17673048646490164,0.0021727999943929413,5.540290160340705e-05,3,True,trace-level workload only; no BER; no full decoder
lightweight,staircase_like,ebch_256_239_r17,256,17,32,4,3,1536,0,0,1536,PackedBlockLUT.apply_many_packed,8,64,0.05,0.0004479999964435895,1.166666657405181,0.857142863947214,0.0004479999964435895,6.977812578820309e-06,3,True,trace-level workload only; no BER; no full decoder
lightweight,staircase_like,ebch_256_239_r17,256,17,32,4,3,1536,0,0,1536,EventUpdate.integrated,8,64,0.05,0.0015057666654077668,3.921267357832726,0.2550195915620243,0.0015057666654077668,0.00010081123798841593,3,True,trace-level workload only; no BER; no full decoder
lightweight,staircase_like,ebch_256_239_r17,256,17,32,8,1,1024,0,0,1024,Naive.apply_many,8,64,0.05,0.0008109333381677667,6.335416704435677,0.1578428139225412,0.0008109333381677667,6.798769234659089e-06,3,True,trace-level workload only; no BER; no full decoder
lightweight,staircase_like,ebch_256_239_r17,256,17,32,8,1,1024,0,0,1024,PackedBatch.apply_many,8,64,0.05,0.0007365000007363657,5.753906255752857,0.1737949760652048,0.0007365000007363657,8.742976556285378e-06,3,True,trace-level workload only; no BER; no full decoder
lightweight,staircase_like,ebch_256_239_r17,256,17,32,8,1,1024,0,0,1024,PackedBlockLUT.apply_many_packed,8,64,0.05,0.00015779999860872826,1.2328124891306895,0.8111533658335536,0.00015779999860872826,4.172533777837135e-06,3,True,trace-level workload only; no BER; no full decoder
lightweight,staircase_like,ebch_256_239_r17,256,17,32,8,1,1024,0,0,1024,EventUpdate.integrated,8,64,0.05,0.00046606666486089426,3.6411458192257364,0.27463882240581144,0.00046606666486089426,2.4099835429098433e-05,3,True,trace-level workload only; no BER; no full decoder
lightweight,staircase_like,ebch_256_239_r17,256,17,32,8,3,3072,0,0,3072,Naive.apply_many,8,64,0.05,0.00220806667736421,5.750173638969297,0.17390779179657037,0.00220806667736421,0.00021637308095811696,3,True,trace-level workload only; no BER; no full decoder
lightweight,staircase_like,ebch_256_239_r17,256,17,32,8,3,3072,0,0,3072,PackedBatch.apply_many,8,64,0.05,0.0022509999883671603,5.861979136372813,0.17059084939336117,0.0022509999883671603,9.790380152456528e-05,3,True,trace-level workload only; no BER; no full decoder
lightweight,staircase_like,ebch_256_239_r17,256,17,32,8,3,3072,0,0,3072,PackedBlockLUT.apply_many_packed,8,64,0.05,0.000511733330010126,1.3326388802347031,0.7503908334295942,0.000511733330010126,4.104344634559969e-05,3,True,trace-level workload only; no BER; no full decoder
lightweight,staircase_like,ebch_256_239_r17,256,17,32,8,3,3072,0,0,3072,EventUpdate.integrated,8,64,0.05,0.0013068333306970696,3.4032117986902852,0.29384007201222284,0.0013068333306970696,0.0001760677537393338,3,True,trace-level workload only; no BER; no full decoder
lightweight,ofec_like,bch_255_239_r16,255,16,8,4,1,8,2048,256,8,Naive.apply_many,8,64,0.05,0.0015432000121412177,5.673529456401536,0.17625712665890608,0.0015432000121412177,0.0001042781247025703,3,True,trace-level workload only; no BER; no full decoder
lightweight,ofec_like,bch_255_239_r16,255,16,8,4,1,8,2048,256,8,PackedBatch.apply_many,8,64,0.05,0.0015454000094905496,5.6816176819505495,0.17600621090306998,0.0015454000094905496,0.0001534114398961249,3,True,trace-level workload only; no BER; no full decoder
lightweight,ofec_like,bch_255_239_r16,255,16,8,4,1,8,2048,256,8,PackedBlockLUT.apply_many_packed,8,64,0.05,0.0002544333304588993,0.9354166560988946,1.069042328335746,0.0002544333304588993,4.981321876554005e-06,3,True,trace-level workload only; no BER; no full decoder
