task,mode,batch_size,direct_median_Mbit_s,lut_median_Mbit_s,lut_vs_direct_median,direct_min_Mbit_s,lut_min_Mbit_s,lut_vs_direct_min,direct_cv,lut_cv
syndrome,stream_chunked,100,36.12947888126595,289.42135870389814,8.010670722792252,36.0322212539496,283.0189069568824,7.854606158255088,0.003806948227706816,0.031284609171959334
syndrome,stream_chunked,300,18.80469770076092,424.16440895490905,22.55630033008962,18.765638223406107,414.4095147057896,22.083422358047095,0.0029374810216781207,0.03252395405029507
syndrome,stream_chunked,500,18.13667979005606,499.9852110368663,27.56762631443695,17.102156982670742,481.6775160384474,28.164723112208662,0.08066725562364269,0.05178351277403094
syndrome,stream_chunked,700,17.042576561930176,509.0823112493474,29.871205765127026,16.793835634871325,497.908038916821,29.6482620017399,0.020640822195258892,0.031041753235400024
syndrome,stream_chunked,1000,17.289018286856773,529.0914553554464,30.60274716452034,17.28110596890845,521.7925151069546,30.194393579076777,0.0006472147328825108,0.01950940652298644
syndrome,stream_chunked,1500,17.578828810055825,401.3565758168993,22.83181548405014,17.537344265710594,275.19965671258,15.692208155521957,0.0033374240045123404,0.4445244870384944
syndrome,stream_chunked,2000,17.81415662046918,453.30974661138794,25.446601614050977,17.577963386944838,441.2910106073229,25.104786083185836,0.018750686956859376,0.0374954643851984
syndrome,stream_chunked,3000,17.873888420868347,230.30455560698363,12.884972211088414,17.836658165312475,220.8047133750642,12.379264732699216,0.0029457234541231734,0.058334954292922125
syndrome,stream_chunked,5000,17.96755369357465,289.1146993523014,16.09093281606228,17.76857372218999,287.5118382826165,16.18091821987727,0.01566157413368002,0.007840444876813478
syndrome,stream_chunked,7000,17.73273174344198,245.09665338332172,13.821708743435131,17.47608175981512,244.14930642305228,13.970483188311379,0.020468244423883942,0.005466214658552119
syndrome,stream_chunked,10000,17.885252960415347,265.95135443691254,14.869868210728196,17.876070455723227,263.88227725688137,14.76176086408277,0.0007260743083082053,0.011002451992741923
syndrome,stream_chunked,30000,17.6948859223118,249.42203217373492,14.095712923429145,17.581676074596714,248.003008827938,14.10576601318863,0.009047975936990473,0.008045809119028411
syndrome,stream_chunked,100000,17.292803030753717,234.24325547022198,13.545707717461484,17.064301701280925,215.73348532279945,12.642385788725566,0.018686946158237527,0.11175035937041648
syndrome,stream_chunked,300000,35.53879012334525,486.4552419597466,13.688007956134575,35.53879012334525,486.4552419597466,13.688007956134575,,
