profile,task,batch_size,round_index,block_width,input_width,output_width,active_input_bytes,l1_fit_active_input,correctness_passed,stage_total_s,stage_repeats,stage_read_prepare_s,stage_read_prepare_pct,stage_index_s,stage_index_pct,stage_lookup_s,stage_lookup_pct,stage_xor_s,stage_xor_pct,stage_write_s,stage_write_pct
bch_255_239_r16,syndrome,30000,0,14,255,16,956250.0,False,True,0.0310377997811883,5,0.0063688998343423,20.51981738152204,0.0240962001262232,77.63501374484566,0.0004495998146012,1.4485556894201614,0.0002388003049418,0.769385415929408,5.300040356814861e-06,0.0170760826932943
bch_255_239_r16,syndrome,100000,0,14,255,16,3187500.0,False,True,0.1395474002929404,5,0.0373443999560549,26.761086109566318,0.0995678000617772,71.35052308589246,0.002370900590904,1.6989930202404484,0.0008615002734586,0.6173531514382802,1.3299984857439997e-05,0.0095308008816505
bch_255_239_r16,syndrome,300000,0,14,255,16,9562500.0,False,True,0.3263326998567208,5,0.0810364997014403,24.83247916528748,0.2393243997357785,73.33754779734178,0.0052299001254141,1.6026282771264924,0.0020989001495763,0.6431780052988578,4.159996751695872e-05,0.0127477165283232
bch_255_239_r16,syndrome,1000000,0,14,255,16,31875000.0,False,True,1.0326438000192866,5,0.2586831004591658,25.050564430284137,0.7489977002842352,72.53204834718866,0.0230069999815896,2.2279705723464294,0.0070724999532103,0.6848925014683922,0.0004419999895617,0.0428027544012254
bch_255_239_r16,syndrome,3000000,0,14,255,16,95625000.0,False,True,3.208114199573174,5,0.8336013003718108,25.984152948255957,2.273088700021617,70.85435737680541,0.070777699816972,2.2062088633374923,0.0220784000121057,0.688204927837143,0.0014651999808847,0.0456716902746083
bch_255_239_r16,parity,10,0,14,239,16,298.75,True,True,5.289993714541197e-05,5,1.100008375942707e-05,20.794133893183865,3.120000474154949e-05,58.97928509023848,3.899913281202316e-06,7.372245586005497,6.4999330788850784e-06,12.287222688030774,3.00002284348011e-07,0.5671127425413781
bch_255_239_r16,parity,30,0,14,239,16,896.25,True,True,5.9600104577839375e-05,5,1.2400094419717789e-05,20.80549104326306,3.709993325173855e-05,62.248100929563,3.999914042651653e-06,6.711253396254793,6.200047209858894e-06,10.40274552163153,3.00002284348011e-07,0.5033586542724934
bch_255_239_r16,parity,100,0,14,239,16,2987.5,True,True,8.199992589652538e-05,5,1.7200014553964138e-05,20.975646460545107,5.259981844574213e-05,64.14617802474254,5.00003807246685e-06,6.097612915865719,6.900052540004253e-06,8.414705823894693,3.00002284348011e-07,0.3658567749519431
bch_255_239_r16,parity,300,0,14,239,16,8962.5,True,True,0.0001544998958706,5,3.440002910792828e-05,22.26540601472033,0.0001017998438328,65.88991096670746,8.00006091594696e-06,5.178036445178519,8.400063961744308e-06,5.436938267437444,3.00002284348011e-07,0.1941763666941944
bch_255_239_r16,parity,500,0,14,239,16,14937.5,True,True,0.0002307998947799,5,5.110015626996756e-05,22.1404590841318,0.0001586000435054,68.71755451044005,1.1699972674250604e-05,5.069314561606331,9.7999582067132e-06,4.246084347680469,3.00002284348011e-07,0.1299837179882939
bch_255_239_r16,parity,700,0,14,239,16,20912.5,True,True,0.0003153999568894,5,6.520003080368042e-05,20.67217492567172,0.0002183000324293,69.2137166353236,1.95999164134264e-05,6.214305355880654,1.2399978004395962e-05,3.9315090993313686,5.00003807246685e-07,0.1585300810367387
