index,profile,task,mode,backend,batch_size,throughput_median_Mbit_s,throughput_min_Mbit_s,throughput_max_Mbit_s,throughput_std_Mbit_s,round_count,throughput_cv
73,bch_255_239_r16,syndrome,bulk,PackedBatchGF2Kernel.apply_many,3000,17.610360317611608,17.027357303655545,18.19336333156767,0.8244907692410547,2,0.046818506513833534
74,bch_255_239_r16,syndrome,bulk,PackedBatchGF2Kernel.apply_many,5000,17.920411037605014,17.517249345542282,18.32357272966775,0.5701567327444015,2,0.031816052184738305
75,bch_255_239_r16,syndrome,bulk,PackedBatchGF2Kernel.apply_many,7000,17.7042803950822,17.516245450451276,17.89231533971312,0.2659215688971263,2,0.015020185116984058
76,bch_255_239_r16,syndrome,bulk,PackedBatchGF2Kernel.apply_many,10000,17.387644413275876,17.317499022762878,17.457789803788874,0.09920056260143889,2,0.005705232994395545
77,bch_255_239_r16,syndrome,bulk,PackedBatchGF2Kernel.apply_many,30000,17.372843750095583,17.126879733032286,17.61880776715888,0.3478456487866824,2,0.020022378246783493
78,bch_255_239_r16,syndrome,bulk,PackedBatchGF2Kernel.apply_many,100000,17.528148783682212,17.313329715307155,17.74296785205727,0.3038000399523589,2,0.017332123528936542
79,bch_255_239_r16,syndrome,bulk,PackedBatchGF2Kernel.apply_many,300000,35.745401903122044,35.745401903122044,35.745401903122044,,1,
80,bch_255_239_r16,syndrome,bulk,PackedBlockLUTKernel.apply_many_packed,10,55.970422426059756,52.36137310161834,59.57947175050116,5.103966501898498,2,0.09119042309607614
81,bch_255_239_r16,syndrome,bulk,PackedBlockLUTKernel.apply_many_packed,30,138.37967168405677,127.92644347003376,148.8328998980798,14.783097110852447,2,0.10682997676569615
82,bch_255_239_r16,syndrome,bulk,PackedBlockLUTKernel.apply_many_packed,100,288.9676048214325,286.8392146822149,291.09599496065005,3.0099982009026505,2,0.010416386303103695
83,bch_255_239_r16,syndrome,bulk,PackedBlockLUTKernel.apply_many_packed,300,436.5450292133809,433.1821755998584,439.9078828269034,4.755793188518875,2,0.010894164107396739
84,bch_255_239_r16,syndrome,bulk,PackedBlockLUTKernel.apply_many_packed,500,491.42944780440905,489.8194334782375,493.03946213058055,2.276904095686728,2,0.004633226815892696
85,bch_255_239_r16,syndrome,bulk,PackedBlockLUTKernel.apply_many_packed,700,501.4936275767343,492.5497157307183,510.4375394227504,12.648601433305304,2,0.02522185873911214
86,bch_255_239_r16,syndrome,bulk,PackedBlockLUTKernel.apply_many_packed,1000,490.7193018167129,461.4549262386982,519.9836773947277,41.38607683680846,2,0.08433757686643117
87,bch_255_239_r16,syndrome,bulk,PackedBlockLUTKernel.apply_many_packed,1500,501.76531672730283,453.0916708494085,550.4389626051972,68.83493013066345,2,0.13718550851547506
88,bch_255_239_r16,syndrome,bulk,PackedBlockLUTKernel.apply_many_packed,2000,517.2297454597311,499.3635106471622,535.0959802723002,25.26667158047738,2,0.04884999712848981
89,bch_255_239_r16,syndrome,bulk,PackedBlockLUTKernel.apply_many_packed,3000,234.00301512082876,224.1035835422649,243.9024466993926,13.999910398189524,2,0.05982790602488858
90,bch_255_239_r16,syndrome,bulk,PackedBlockLUTKernel.apply_many_packed,5000,244.6163928480043,234.65538171424333,254.5774039817653,14.086997040314182,2,0.05758811531926778
91,bch_255_239_r16,syndrome,bulk,PackedBlockLUTKernel.apply_many_packed,7000,220.09023367892885,218.4688806582452,221.7115866996125,2.2929394312453923,2,0.010418178911974663
92,bch_255_239_r16,syndrome,bulk,PackedBlockLUTKernel.apply_many_packed,10000,131.2560265307959,131.12090372965832,131.3911493319335,0.1910924979546137,2,0.0014558759929379599
93,bch_255_239_r16,syndrome,bulk,PackedBlockLUTKernel.apply_many_packed,30000,115.5454277552075,113.88809479244158,117.2027607179734,2.3438227533115334,2,0.020284859373900236
94,bch_255_239_r16,syndrome,bulk,PackedBlockLUTKernel.apply_many_packed,100000,112.98841788141921,112.2868696164538,113.68996614638462,0.9921390709733969,2,0.008780891790295196
95,bch_255_239_r16,syndrome,bulk,PackedBlockLUTKernel.apply_many_packed,300000,231.09136450154472,231.09136450154472,231.09136450154472,,1,
96,bch_255_239_r16,syndrome,stream_chunked,PackedBatchGF2Kernel.apply_many,10,32.93765641690457,32.278473058111864,33.59683977569727,0.9322260460952903,2,0.028302743652910432
97,bch_255_239_r16,syndrome,stream_chunked,PackedBatchGF2Kernel.apply_many,30,35.7817382132809,35.63111234853673,35.93236407802507,0.21301714076537978,2,0.005953236242903242
98,bch_255_239_r16,syndrome,stream_chunked,PackedBatchGF2Kernel.apply_many,100,36.12947888126595,36.0322212539496,36.2267365085823,0.13754305559500626,2,0.003806948227706816
99,bch_255_239_r16,syndrome,stream_chunked,PackedBatchGF2Kernel.apply_many,300,18.80469770076092,18.765638223406107,18.84375717811573,0.05523844261437939,2,0.0029374810216781207
100,bch_255_239_r16,syndrome,stream_chunked,PackedBatchGF2Kernel.apply_many,500,18.13667979005606,17.102156982670742,19.17120259744138,1.4630361847886064,2,0.08066725562364269
101,bch_255_239_r16,syndrome,stream_chunked,PackedBatchGF2Kernel.apply_many,700,17.042576561930176,16.793835634871325,17.29131748898903,0.3517727925638873,2,0.020640822195258892
102,bch_255_239_r16,syndrome,stream_chunked,PackedBatchGF2Kernel.apply_many,1000,17.289018286856773,17.28110596890845,17.296930604805098,0.01118970735232885,2,0.0006472147328825108
103,bch_255_239_r16,syndrome,stream_chunked,PackedBatchGF2Kernel.apply_many,1500,17.578828810055825,17.537344265710594,17.620313354401056,0.05866800524189341,2,0.0033374240045123404
104,bch_255_239_r16,syndrome,stream_chunked,PackedBatchGF2Kernel.apply_many,2000,17.81415662046918,17.577963386944838,18.050349853993524,0.33402767419088153,2,0.018750686956859376
105,bch_255_239_r16,syndrome,stream_chunked,PackedBatchGF2Kernel.apply_many,3000,17.873888420868347,17.836658165312475,17.911118676424223,0.0526515323377325,2,0.0029457234541231734
106,bch_255_239_r16,syndrome,stream_chunked,PackedBatchGF2Kernel.apply_many,5000,17.96755369357465,17.76857372218999,18.16653366495931,0.28140017417279567,2,0.01566157413368002
107,bch_255_239_r16,syndrome,stream_chunked,PackedBatchGF2Kernel.apply_many,7000,17.73273174344198,17.47608175981512,17.98938172706884,0.3629578876279361,2,0.020468244423883942
108,bch_255_239_r16,syndrome,stream_chunked,PackedBatchGF2Kernel.apply_many,10000,17.885252960415347,17.876070455723227,17.894435465107467,0.012986022672150854,2,0.0007260743083082053
109,bch_255_239_r16,syndrome,stream_chunked,PackedBatchGF2Kernel.apply_many,30000,17.6948859223118,17.581676074596714,17.80809577002689,0.16010290203286864,2,0.009047975936990473
110,bch_255_239_r16,syndrome,stream_chunked,PackedBatchGF2Kernel.apply_many,100000,17.292803030753717,17.064301701280925,17.521304360226505,0.3231496791607014,2,0.018686946158237527
111,bch_255_239_r16,syndrome,stream_chunked,PackedBatchGF2Kernel.apply_many,300000,35.53879012334525,35.53879012334525,35.53879012334525,,1,
112,bch_255_239_r16,syndrome,stream_chunked,PackedBlockLUTKernel.apply_many_packed,10,54.060355393829305,52.68592940904816,55.43478137861045,1.9437318681554963,2,0.03595484813215569
113,bch_255_239_r16,syndrome,stream_chunked,PackedBlockLUTKernel.apply_many_packed,30,129.77112267991455,129.66105300410808,129.88119235572103,0.15566202833152162,2,0.0011995120726162475
114,bch_255_239_r16,syndrome,stream_chunked,PackedBlockLUTKernel.apply_many_packed,100,289.42135870389814,283.0189069568824,295.8238104509138,9.054434093068904,2,0.031284609171959334
115,bch_255_239_r16,syndrome,stream_chunked,PackedBlockLUTKernel.apply_many_packed,300,424.16440895490905,414.4095147057896,433.9193032040285,13.795503746620028,2,0.03252395405029507
116,bch_255_239_r16,syndrome,stream_chunked,PackedBlockLUTKernel.apply_many_packed,500,499.9852110368663,481.6775160384474,518.2929060352852,25.890990562554123,2,0.05178351277403094
117,bch_255_239_r16,syndrome,stream_chunked,PackedBlockLUTKernel.apply_many_packed,700,509.0823112493474,497.908038916821,520.2565835818739,15.802807482309353,2,0.031041753235400024
118,bch_255_239_r16,syndrome,stream_chunked,PackedBlockLUTKernel.apply_many_packed,1000,529.0914553554464,521.7925151069546,536.3903956039381,10.322260290367936,2,0.01950940652298644
119,bch_255_239_r16,syndrome,stream_chunked,PackedBlockLUTKernel.apply_many_packed,1500,401.3565758168993,275.19965671258,527.5134949212186,178.41282598453375,2,0.4445244870384944
120,bch_255_239_r16,syndrome,stream_chunked,PackedBlockLUTKernel.apply_many_packed,2000,453.30974661138794,441.2910106073229,465.328482615453,16.997059459530607,2,0.0374954643851984
121,bch_255_239_r16,syndrome,stream_chunked,PackedBlockLUTKernel.apply_many_packed,3000,230.30455560698363,220.8047133750642,239.80439783890304,13.434805724785132,2,0.058334954292922125
122,bch_255_239_r16,syndrome,stream_chunked,PackedBlockLUTKernel.apply_many_packed,5000,289.1146993523014,287.5118382826165,290.7175604219863,2.2667878633482204,2,0.007840444876813478
123,bch_255_239_r16,syndrome,stream_chunked,PackedBlockLUTKernel.apply_many_packed,7000,245.09665338332172,244.14930642305228,246.0440003435912,1.339750919485981,2,0.005466214658552119
124,bch_255_239_r16,syndrome,stream_chunked,PackedBlockLUTKernel.apply_many_packed,10000,265.95135443691254,263.88227725688137,268.02043161694377,2.926117009596822,2,0.011002451992741923
125,bch_255_239_r16,syndrome,stream_chunked,PackedBlockLUTKernel.apply_many_packed,30000,249.42203217373492,248.003008827938,250.8410555195318,2.0068020609500343,2,0.008045809119028411
126,bch_255_239_r16,syndrome,stream_chunked,PackedBlockLUTKernel.apply_many_packed,100000,234.24325547022198,215.73348532279945,252.7530256176445,26.176767978893583,2,0.11175035937041648
127,bch_255_239_r16,syndrome,stream_chunked,PackedBlockLUTKernel.apply_many_packed,300000,486.4552419597466,486.4552419597466,486.4552419597466,,1,
