matrix_source,workload_type,backend_or_method,batch_size,density,flip_count,mean_latency_per_word_us,mean_throughput_Mword_s,relative_to_best_from_scratch,correctness_all_true,num_rows
galois_systematic_candidate,event_update,from_scratch.PackedBlockLUT.apply_many_packed,16,0.05,2,4.36666717481,0.229007606938,1,True,1
galois_systematic_candidate,event_update,from_scratch.PackedBlockLUT.apply_many_packed,16,0.05,4,4.24583292139,0.235525047385,1,True,1
galois_systematic_candidate,event_update,from_scratch.PackedBlockLUT.apply_many_packed,16,0.5,1,4.64166684348,0.215439848167,1,True,1
galois_systematic_candidate,event_update,from_scratch.PackedBlockLUT.apply_many_packed,16,0.5,2,4.63541679589,0.215730331065,1,True,1
galois_systematic_candidate,event_update,from_scratch.PackedBlockLUT.apply_many_packed,16,0.5,4,4.45416662842,0.224508888738,1,True,1
galois_systematic_candidate,event_update,from_scratch.PackedBlockLUT.apply_many_packed,4096,0.005,1,0.554524736647,1.80334606179,1,True,1
galois_systematic_candidate,event_update,from_scratch.PackedBlockLUT.apply_many_packed,4096,0.005,2,0.543920900024,1.83850262043,1,True,1
galois_systematic_candidate,event_update,from_scratch.PackedBlockLUT.apply_many_packed,4096,0.005,4,0.511621090974,1.95457149371,1,True,1
galois_systematic_candidate,event_update,from_scratch.PackedBlockLUT.apply_many_packed,4096,0.05,1,0.460319010169,2.17240647879,1,True,1
galois_systematic_candidate,event_update,from_scratch.PackedBlockLUT.apply_many_packed,4096,0.05,2,0.429402670458,2.32881644386,1,True,1
galois_systematic_candidate,event_update,from_scratch.PackedBlockLUT.apply_many_packed,4096,0.05,4,0.442871098016,2.25799336303,1,True,1
galois_systematic_candidate,event_update,from_scratch.PackedBlockLUT.apply_many_packed,4096,0.5,1,0.583756512166,1.71304298823,1,True,1
galois_systematic_candidate,event_update,from_scratch.PackedBlockLUT.apply_many_packed,4096,0.5,2,0.460310872086,2.17244488593,1,True,1
galois_systematic_candidate,event_update,from_scratch.PackedBlockLUT.apply_many_packed,4096,0.5,4,0.481632487966,2.07627189815,1,True,1
galois_systematic_candidate,event_update,from_scratch.PackedBlockLUT.apply_many_packed,64,0.005,1,1.32864564269,0.752646129162,1,True,1
galois_systematic_candidate,event_update,from_scratch.PackedBlockLUT.apply_many_packed,64,0.005,2,1.2510417946,0.799333806683,1,True,1
galois_systematic_candidate,event_update,from_scratch.PackedBlockLUT.apply_many_packed,64,0.005,4,1.28802093968,0.776384893437,1,True,1
galois_systematic_candidate,event_update,from_scratch.PackedBlockLUT.apply_many_packed,64,0.05,1,1.2562501676,0.796019794301,1,True,1
galois_systematic_candidate,event_update,from_scratch.PackedBlockLUT.apply_many_packed,64,0.05,2,1.23020830263,0.812870469057,1,True,1
galois_systematic_candidate,event_update,from_scratch.PackedBlockLUT.apply_many_packed,64,0.05,4,1.36354143857,0.733384385476,1,True,1
galois_systematic_candidate,event_update,from_scratch.PackedBlockLUT.apply_many_packed,64,0.5,1,1.24166672322,0.805369090837,1,True,1
galois_systematic_candidate,event_update,from_scratch.PackedBlockLUT.apply_many_packed,64,0.5,2,1.28177089209,0.780170626568,1,True,1
galois_systematic_candidate,event_update,from_scratch.PackedBlockLUT.apply_many_packed,64,0.5,4,1.26822912231,0.788501054271,1,True,1
